98,1,1,0,1,0,0,0
1,1,0,1,1,0,1,96
0,2,1,1,2,0,1,94
5,1,0,1,1,0,1,92
0,2,0,2,2,0,2,93
4,2,0,2,2,0,2,89
0,4,1,3,4,0,3,86
13,1,0,1,1,0,1,84
0,2,0,2,2,0,2,93
4,2,0,2,2,0,2,89
0,4,0,4,4,0,4,85
12,2,0,2,2,0,2,81
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,1,7,8,0,7,70
29,1,0,1,1,0,1,68
0,2,0,2,2,0,2,93
4,2,0,2,2,0,2,89
0,4,0,4,4,0,4,85
12,2,0,2,2,0,2,81
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
28,2,0,2,2,0,2,65
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
24,4,0,4,4,0,4,61
0,8,0,8,8,0,8,69
16,8,0,8,8,0,8,53
0,16,1,15,16,0,15,38
61,1,0,1,1,0,1,36
0,2,0,2,2,0,2,93
4,2,0,2,2,0,2,89
0,4,0,4,4,0,4,85
12,2,0,2,2,0,2,81
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
28,2,0,2,2,0,2,65
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
24,4,0,4,4,0,4,61
0,8,0,8,8,0,8,69
16,8,0,8,8,0,8,53
0,16,0,16,16,0,16,37
60,2,0,2,2,0,2,33
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
2,7,0,7,7,0,7,71
20,4,0,4,4,0,4,65
2,7,0,7,7,0,7,71
12,8,0,8,8,0,8,57
10,11,0,11,11,0,11,47
36,4,0,4,4,0,4,49
0,8,0,8,8,0,8,69
16,8,0,8,8,0,8,53
4,14,0,14,14,0,14,41
40,8,0,8,8,0,8,29
6,13,0,13,13,0,13,43
20,16,0,16,16,0,16,17
26,19,1,18,19,0,18,0
73,1,0,1,1,0,1,24
0,2,0,2,2,0,2,93
4,2,0,2,2,0,2,89
0,4,0,4,4,0,4,85
12,2,0,2,2,0,2,81
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
28,2,0,2,2,0,2,65
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
24,4,0,4,4,0,4,61
2,7,0,7,7,0,7,71
12,8,0,8,8,0,8,57
6,13,0,13,13,0,13,43
48,2,0,2,2,0,2,45
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
2,7,0,7,7,0,7,71
20,4,0,4,4,0,4,65
2,7,0,7,7,0,7,71
12,8,0,8,8,0,8,57
10,11,0,11,11,0,11,47
36,4,0,4,4,0,4,49
0,8,0,8,8,0,8,69
16,8,0,8,8,0,8,53
4,14,0,14,14,0,14,41
40,8,0,8,8,0,8,29
10,11,0,11,11,0,11,47
12,16,0,16,16,0,16,25
38,13,0,13,13,0,13,11
48,2,0,2,2,0,2,45
0,4,0,4,4,0,4,85
8,4,0,4,4,0,4,77
0,8,0,8,8,0,8,69
24,4,0,4,4,0,4,61
